# SINGLE SOURCE OF TRUTH for the commercial claims ledger — loaded by BOTH commercial_obligations.py and
# Rust/src/commercial_obligations.rs (shipped_ledger). Tab-separated; fields must contain no tab/newline.
# columns: id	grade	tier	rests_on	statement	does_not_show	falsifier
C1	MEASURED	open-core	coupling.detect_identifiable	Detects identifiable diagnostic→dynamics leaks (observer contamination) in your kernel telemetry.	a mechanism or magnitude; only that a residual survives conditioning on the modeled drivers.	the residual dissolves under a further candidate confounder or finer windowing.
C2	ESTABLISHED	open-core	backend.refuse_contaminated_atomic	Refuses to certify contaminated or unidentifiable telemetry as controller-safe — atomically.	that certified telemetry is correct — only that an ungrounded certification cannot execute.	an action running on a non-AIR_GAP_HELD window.
C3	ESTABLISHED	open-core	backend.honest_answers	Every finding carries its scope and at least one limitation; no fused 'health score'.	that the findings are complete — only that none ships without its boundary.	an answer emitted without a scope or limitation, or a single aggregate score field.
C4	ESTABLISHED	open-core	reproducibility.determinism	Deterministic, reproducible reports: identical telemetry yields an identical report.	correctness or cross-precision parity; integrity ≠ truth.	identical input producing divergent reports.
C5	MEASURED	commercial	auditor.custom_probe	Works on YOUR kernel: customer-defined probes over arbitrary telemetry columns.	that your specific kernel is leak-free — only that the procedure runs on your schema.	a probe schema the auditor cannot evaluate.
C6	ESTABLISHED	open-core	coupling.declares_blindness	States where it is blind: a coupling whose diagnostic is a function of the conditioned state is reported UNIDENTIFIABLE, not falsely cleared.	that blind couplings are absent — undetected ≠ absent.	an unidentifiable coupling silently reported AIR_GAP_HELD.
C7	MEASURED	commercial	certificate.discrete_contraction	Ships with a checkable discrete-time contraction certificate: a sufficient condition (2‖κ‖_F·σ < λ, dt·λ ≤ 1) with the noise margin σ_max and the contraction factor ρ stated.	stability for ‖S‖ > σ, the fixed-point clamps, or the full coupled Z–S–W system — it is a SUFFICIENT condition, NOT a global stability proof.	a sampled trajectory whose growth exceeds the analytic ρ within the certified σ.
C8	ESTABLISHED	open-core	kappa.remediated_skew	The Lie-coupling κ can be antisymmetrized to a hollow, skew-symmetric matrix, after which the skew-symmetry obligation closes (max|κ+κᵀ| = 0).	that the shipped upstream kernel uses the corrected κ — only that the remediation satisfies the premise.	an entry with κ[i,j] + κ[j,i] ≠ 0 after antisymmetrization (a coding error in the remediation).
B1	NOT_MEASURED	open-core	kernel.boundedness	We do NOT guarantee your kernel is numerically bounded.	boundedness — the continuous energy law does not certify the discrete kernel; a Lyapunov cert is open.	a discrete-time trapping certificate (would upgrade this).
B2	NOT_MEASURED	open-core	coupling.exhaustive	We do NOT claim to detect every coupling — only identifiable ones.	completeness or absence of a leak. undetected ≠ absent.	a completeness proof over the coupling space.
B3	UNDERDETERMINED	commercial	realkernel.lift	Reference-model results are reference-relative until run on your real kernel trace dumps.	any property of the shipped Rust kernel from the Python reference alone.	a run on real BinaryFrame dumps reproducing the verdicts.
